DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRSDepTime,DepartureDelay,DepDelay15,TaxiInTime,ArrivalDelay,CRSDuration,ActualDuration,ActualAirTime,DISTANCE,DepDelayOver15,ArrDelayOver15,DiffActualCRSDiration
20,7,4/20/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1925,-12,0,6,-9,117,120,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,3
20,7,4/20/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",700,-8,0,5,-8,120,120,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,0
20,7,4/20/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",630,-17,0,4,-14,119,122,100,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,3
20,7,4/20/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1400,-10,0,7,-26,129,113,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-16
20,7,4/20/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1540,13,0,6,24,119,130,98,697,Departure Delay 15 min or less,Arrival Delay more than 15 min,11
20,7,4/20/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",620,-8,0,8,-4,119,123,94,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,4
20,7,4/20/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1845,-12,0,4,-22,115,105,93,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-10
20,7,4/20/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1245,-6,0,7,-12,112,106,90,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-6
20,7,4/20/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1000,-12,0,6,-11,115,116,97,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,1
20,7,4/20/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",2020,-7,0,3,-16,116,107,93,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-9
20,7,4/20/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1155,-9,0,3,-23,124,110,93,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-14
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1600,-4,0,5,-16,131,119,93,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-12
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1937,-2,0,10,-17,137,122,94,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-15
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1327,-4,0,7,-26,133,111,91,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-22
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1745,-1,0,12,-15,137,123,94,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-14
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1005,-2,0,7,-20,130,112,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-18
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",645,-10,0,4,-29,131,112,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-19
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1105,-4,0,5,-10,131,125,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-6
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",2233,20,1,5,13,127,120,92,679,Departure Delay more than 15 min,Arrival Delay 15 min or less,-7
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",746,-6,0,6,-20,131,117,94,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-14
20,7,4/20/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",2058,-4,0,11,-13,126,117,91,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-9
20,7,4/20/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",1155,-3,0,6,-13,120,110,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-10
20,7,4/20/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",1605,0,0,6,-5,125,120,94,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-5
20,7,4/20/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",2025,-5,0,4,-14,120,111,93,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-9
20,7,4/20/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1735,14,0,4,6,115,107,95,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-8
20,7,4/20/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1400,19,1,3,9,115,105,93,671,Departure Delay more than 15 min,Arrival Delay 15 min or less,-10
20,7,4/20/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1100,-1,0,5,-13,115,103,93,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-12
20,7,4/20/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",905,-4,0,5,-20,120,104,92,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-16
20,7,4/20/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1915,7,0,4,-9,120,104,90,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-16
