"tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
276,"2020-12-12 11:43:04.2790","2020-12-12 11:47:40.5330",3163,"Central Park West & W 68 St",40.7734066,-73.97782542,3226,"W 82 St & Central Park West",40.78275,-73.97137,31983,"Subscriber",1967,1
643,"2020-12-04 11:41:22.0100","2020-12-04 11:52:05.5070",3725,"2 Ave & E 72 St",40.7687620293096,-73.9584079384804,517,"Pershing Square South",40.751581,-73.97791,35543,"Customer",1969,0
1478,"2020-12-06 14:26:02.5480","2020-12-06 14:50:41.1040",3725,"2 Ave & E 72 St",40.7687620293096,-73.9584079384804,4112,"Wards Meadow Comfort Station",40.78294,-73.93077,16834,"Subscriber",1968,2
193,"2020-12-03 06:48:32.5840","2020-12-03 06:51:46.1770",3175,"W 70 St & Amsterdam Ave",40.77748046,-73.98288594,422,"W 59 St & 10 Ave",40.770513,-73.988038,47873,"Subscriber",1987,2
443,"2020-12-04 08:57:45.3380","2020-12-04 09:05:08.4580",3498,"Pleasant Ave & E 120 St",40.7974772,-73.9311847,3351,"E 102 St & 1 Ave",40.7869946,-73.94164802,33155,"Subscriber",1990,1
826,"2020-12-22 10:59:23.5870","2020-12-22 11:13:09.9060",3154,"E 77 St & 3 Ave",40.77314236,-73.95856158,457,"Broadway & W 58 St",40.76695317,-73.98169333,48665,"Subscriber",1996,1
276,"2020-12-14 17:12:50.6460","2020-12-14 17:17:27.1500",304,"Broadway & Battery Pl",40.70463334,-74.01361706,316,"Fulton St & William St",40.70955958,-74.00653609,38811,"Subscriber",1954,1
294,"2020-12-11 13:29:11.5410","2020-12-11 13:34:05.6460",507,"E 25 St & 2 Ave",40.73912601,-73.97973776,3463,"E 16 St & Irving Pl",40.7353670556054,-73.9879739284515,28383,"Subscriber",1993,1
469,"2020-12-22 12:05:46.9240","2020-12-22 12:13:36.4700",3361,"Carroll St & 6 Ave",40.6740886,-73.9787282,3310,"14 St & 7 Ave",40.663779,-73.98396846,49292,"Subscriber",1994,2
380,"2020-12-05 11:53:11.0660","2020-12-05 11:59:31.1370",3163,"Central Park West & W 68 St",40.7734066,-73.97782542,3143,"5 Ave & E 78 St",40.7763214218227,-73.9642739295959,49424,"Subscriber",1994,1
296,"2020-12-14 12:19:55.7170","2020-12-14 12:24:52.6210",336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,3708,"W 13 St & 5 Ave",40.735445,-73.99431,49759,"Subscriber",2001,1
1057,"2020-12-15 12:51:15.3980","2020-12-15 13:08:52.6070",3478,"2 Ave & 36 St",40.6570886666848,-74.0087020397186,3364,"Carroll St & 5 Ave",40.6751622,-73.9814832,49662,"Subscriber",1984,1
563,"2020-12-13 23:06:00.9210","2020-12-13 23:15:24.1230",499,"Broadway & W 60 St",40.76915505,-73.98191841,3226,"W 82 St & Central Park West",40.78275,-73.97137,41802,"Customer",1969,0
131,"2020-12-09 09:31:23.7640","2020-12-09 09:33:35.3330",3329,"Degraw St & Smith St",40.6829151,-73.99318208,3409,"Bergen St & Smith St",40.6867443,-73.99063168,47502,"Subscriber",1978,1
2307,"2020-12-12 17:34:38.5710","2020-12-12 18:13:05.8500",471,"Grand St & Havemeyer St",40.71286844,-73.95698119,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,35471,"Subscriber",1988,2
