DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRSDepTime,DepartureDelay,DepDelay15,TaxiInTime,ArrivalDelay,CRSDuration,ActualDuration,ActualAirTime),DISTANCE,DepDelayOver15,ArrDelayOver15
22,6,2/22/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2256,0,0,4,-6,123,117,98,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
17,1,3/17/14,WN,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,2120,15,1,4,13,120,118,106,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
26,3,3/26/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1255,123,1,5,135,115,127,100,679,Departure Delay more than 15 min,Arrival Delay more than 15 min
9,7,3/9/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,910,-3,0,15,-11,120,112,89,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
13,4,2/13/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1950,18,1,8,24,117,123,102,679,Departure Delay more than 15 min,Arrival Delay more than 15 min
11,5,4/11/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1000,-3,0,5,-15,115,103,89,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
18,2,2/18/14,OO,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1424,-4,0,5,-23,131,112,100,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
10,5,1/10/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,855,8,0,7,7,120,119,105,672,Departure Delay 15 min or less,Arrival Delay 15 min or less
12,6,4/12/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,700,-3,0,5,-8,120,115,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
24,1,3/24/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,2050,1,0,5,-16,115,98,87,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
