State,Medical School,Men,Women,All,Year,,,,,,,,,,,,
OH,Wright State-Boonshoft,56,66,122,4,,,,,,,,,,,,
OK,Oklahoma,76,73,149,4,,,,,,,,,,,,
OR,Oregon,72,86,158,4,,,,,,,,,,,,
PA,Drexel,120,127,247,4,,,,,,,,,,,,
PA,Geisinger Commonwealth,47,51,98,4,,,,,,,,,,,,
PA,Jefferson-Kimmel,142,129,271,4,,,,,,,,,,,,
PA,Penn State,84,72,156,4,,,,,,,,,,,,
PA,Pennsylvania-Perelman,81,75,156,4,,,,,,,,,,,,
PA,Pittsburgh,58,81,139,4,,,,,,,,,,,,
PA,Temple-Katz,110,113,223,4,,,,,,,,,,,,
PR,Caribe,41,35,76,4,,,,,,,,,,,,
PR,Ponce,40,47,87,4,,,,,,,,,,,,
PR,Puerto Rico,45,55,100,4,,,,,,,,,,,,
PR,San Juan Bautista,25,19,44,4,,,,,,,,,,,,
RI,Brown-Alpert,53,65,118,4,,,,,,,,,,,,
SC,MU South Carolina,98,77,175,4,,,,,,,,,,,,
SC,South Carolina Columbia,57,46,103,4,,,,,,,,,,,,
SC,South Carolina Greenville,45,58,103,4,,,,,,,,,,,,
SD,South Dakota-Sanford,41,26,67,4,,,,,,,,,,,,
TN,East Tennessee-Quillen,40,32,72,4,,,,,,,,,,,,
TN,Meharry,52,58,110,4,,,,,,,,,,,,
TN,Tennessee,102,65,167,4,,,,,,,,,,,,
TN,Vanderbilt,51,46,97,4,,,,,,,,,,,,
TX,Baylor,97,103,200,4,,,,,,,,,,,,
TX,Houston-Fertitta,-,-,-,4,,,,,,,,,,,,
TX,TCU-Burnett,-,-,-,4,,,,,,,,,,,,
TX,Texas A&M,80,66,146,4,,,,,,,,,,,,
TX,Texas Tech,85,96,181,4,,,,,,,,,,,,
TX,Texas Tech-Foster,50,43,93,4,,,,,,,,,,,,
TX,UT Austin-Dell,20,27,47,4,,,,,,,,,,,,
TX,UT Houston-McGovern,112,126,238,4,,,,,,,,,,,,
TX,UT Medical Branch-Sealy,125,115,240,4,,,,,,,,,,,,
TX,UT Rio Grande Valley,31,20,51,4,,,,,,,,,,,,
TX,UT San Antonio-Long,116,99,215,4,,,,,,,,,,,,
TX,UT Southwestern,114,96,210,4,,,,,,,,,,,,
UT,Utah-Eccles,66,47,113,4,,,,,,,,,,,,
VA,Eastern Virginia ODU,85,59,144,4,,,,,,,,,,,,
VA,Virginia,81,68,149,4,,,,,,,,,,,,
VA,Virginia Commonwealth,107,95,202,4,,,,,,,,,,,,
